!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 03:43:52 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +8.21727739163e-001, +6.26257242938e+001, +5.80686549415e-003, +3.77831345257e-001
+3.00000000000e+001, +1.15668759274e+000, +7.04572719410e+001, +5.78291328777e-003, +3.86923262230e-001
+4.00000000000e+001, +1.51173080812e+000, +7.43681484218e+001, +5.79250901726e-003, +4.07343750629e-001
+5.00000000000e+001, +1.87362561234e+000, +7.67048476199e+001, +5.80409213998e-003, +4.30872808188e-001
+6.00000000000e+001, +2.22992288435e+000, +7.84325440525e+001, +5.79491529578e-003, +4.47147457453e-001
+7.00000000000e+001, +2.58593926191e+000, +7.97590194901e+001, +5.78583213161e-003, +4.59750613588e-001
+8.00000000000e+001, +2.94913729112e+000, +8.06447898631e+001, +5.78908677998e-003, +4.79396065054e-001
+9.00000000000e+001, +3.31173921442e+000, +8.13516129517e+001, +5.78985150452e-003, +4.97987245497e-001
+1.00000000000e+002, +3.67112698973e+000, +8.19612985337e+001, +5.78536795534e-003, +5.13377606736e-001
+1.10000000000e+002, +4.03194891671e+000, +8.24226383463e+001, +5.78273686927e-003, +5.31671883997e-001
+1.20000000000e+002, +4.39210342056e+000, +8.28187419769e+001, +5.77951308797e-003, +5.49051125749e-001
+1.30000000000e+002, +4.75368248632e+000, +8.31450420783e+001, +5.77818226164e-003, +5.67382252010e-001
+1.40000000000e+002, +5.11457158865e+000, +8.34073187617e+001, +5.77590474131e-003, +5.87205291870e-001
+1.50000000000e+002, +5.47440520743e+000, +8.36608434727e+001, +5.77300944104e-003, +6.04448614872e-001
+1.60000000000e+002, +5.83549523438e+000, +8.39003043232e+001, +5.77181133478e-003, +6.20072662459e-001
+1.70000000000e+002, +6.19356194070e+000, +8.40850568584e+001, +5.76757596702e-003, +6.38258689737e-001
+1.80000000000e+002, +6.54953765440e+000, +8.43134445538e+001, +5.76256403774e-003, +6.48969161433e-001
+1.90000000000e+002, +6.90766764747e+000, +8.44748473575e+001, +5.75937745835e-003, +6.65089020599e-001
+2.00000000000e+002, +7.26424237193e+000, +8.45751888558e+001, +5.75480933709e-003, +6.86757251931e-001
+2.10000000000e+002, +7.62531845915e+000, +8.47044009128e+001, +5.75441521754e-003, +7.03771943626e-001
+2.20000000000e+002, +7.97663909465e+000, +8.48251305008e+001, +5.74703200645e-003, +7.19459078479e-001
+2.30000000000e+002, +8.33695928842e+000, +8.49068576560e+001, +5.74621480135e-003, +7.40114239400e-001
+2.40000000000e+002, +8.69220331141e+000, +8.50374507962e+001, +5.74258899067e-003, +7.51915325200e-001
+2.50000000000e+002, +9.04582329467e+000, +8.51157286772e+001, +5.73783825865e-003, +7.70192205363e-001
+2.60000000000e+002, +9.40521275630e+000, +8.51732407723e+001, +5.73683711092e-003, +7.91385007007e-001
+2.70000000000e+002, +9.75696893679e+000, +8.52817728632e+001, +5.73187992223e-003, +8.02564927235e-001
+2.80000000000e+002, +1.01090210347e+001, +8.53646291048e+001, +5.72727943144e-003, +8.16953044790e-001
+2.90000000000e+002, +1.04662893958e+001, +8.54285602500e+001, +5.72573261314e-003, +8.34184716783e-001
+3.00000000000e+002, +1.08185848113e+001, +8.55022981560e+001, +5.72176278710e-003, +8.48383780706e-001
+3.10000000000e+002, +1.11729737091e+001, +8.55590760532e+001, +5.71901678790e-003, +8.65136326309e-001
+3.20000000000e+002, +1.15246888001e+001, +8.56140362343e+001, +5.71512416724e-003, +8.81347917654e-001
+3.30000000000e+002, +1.18730767367e+001, +8.56824394137e+001, +5.70998848999e-003, +8.93856872000e-001
+3.40000000000e+002, +1.22267933923e+001, +8.57468448346e+001, +5.70763425638e-003, +9.06780650759e-001
+3.50000000000e+002, +1.25767324707e+001, +8.58028183555e+001, +5.70365964269e-003, +9.20480227962e-001
+3.60000000000e+002, +1.29244750324e+001, +8.58237562520e+001, +5.69870075253e-003, +9.41220752101e-001
+3.70000000000e+002, +1.32765425883e+001, +8.58647377548e+001, +5.69601704491e-003, +9.57388718778e-001
+3.80000000000e+002, +1.36248302821e+001, +8.58900651081e+001, +5.69179635493e-003, +9.76496982730e-001
+3.90000000000e+002, +1.39759269148e+001, +8.59700080413e+001, +5.68932808392e-003, +9.82209240768e-001
+4.00000000000e+002, +1.43205675582e+001, +8.60147281530e+001, +5.68419479548e-003, +9.95280058955e-001
+4.10000000000e+002, +1.46699421350e+001, +8.60481309172e+001, +5.68107892378e-003, +1.01102971103e+000
+4.20000000000e+002, +1.50201084947e+001, +8.60994249737e+001, +5.67854069664e-003, +1.02174743929e+000
+4.30000000000e+002, +1.53629437294e+001, +8.61194530502e+001, +5.67321538288e-003, +1.03971107876e+000
+4.40000000000e+002, +1.57116648470e+001, +8.61713814217e+001, +5.67047366308e-003, +1.04910372198e+000
+4.50000000000e+002, +1.60607748410e+001, +8.62059518848e+001, +5.66788779866e-003, +1.06274546137e+000
+4.60000000000e+002, +1.64003873426e+001, +8.62448306988e+001, +5.66217099357e-003, +1.07411314503e+000
+4.70000000000e+002, +1.67503553581e+001, +8.62755002163e+001, +5.66015168128e-003, +1.08808655056e+000
+4.80000000000e+002, +1.70923262371e+001, +8.63124818238e+001, +5.65561705399e-003, +1.09929145578e+000
+4.90000000000e+002, +1.74346277110e+001, +8.63374889173e+001, +5.65130611018e-003, +1.11371274263e+000
+5.00000000000e+002, +1.77821555757e+001, +8.63855681774e+001, +5.64897703412e-003, +1.12102093268e+000
+5.10000000000e+002, +1.81182623392e+001, +8.64209221301e+001, +5.64311135125e-003, +1.13105201912e+000
+5.20000000000e+002, +1.84642649193e+001, +8.64489521641e+001, +5.64045538607e-003, +1.14363606205e+000
+5.30000000000e+002, +1.88076640307e+001, +8.64615346438e+001, +5.63703051945e-003, +1.16078308150e+000
+5.40000000000e+002, +1.91457587414e+001, +8.65016392707e+001, +5.63234061041e-003, +1.16827385766e+000
+5.50000000000e+002, +1.94887174199e+001, +8.65263340270e+001, +5.62914013103e-003, +1.18081700160e+000
+5.60000000000e+002, +1.98274414962e+001, +8.65451278172e+001, +5.62482175768e-003, +1.19484843265e+000
+5.70000000000e+002, +2.01727019159e+001, +8.65758857900e+001, +5.62255021331e-003, +1.20484487825e+000
+5.80000000000e+002, +2.05162751557e+001, +8.66008296549e+001, +5.61986547851e-003, +1.21644932159e+000
