!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 19:39:26 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.65366735268e-001, -9.27072996944e-001, -3.41671666595e-005, +2.65331998484e-001
+2.01250000000e+001, +2.66783618847e-001, -1.06696624145e-001, -3.92890200915e-006, +2.66783156269e-001
+2.02510000000e+001, +2.60583492283e-001, -9.79282315276e-001, -3.50013416985e-005, +2.60545431573e-001
+2.03770000000e+001, +2.60531925649e-001, -5.37800886624e-001, -1.90999987961e-005, +2.60520448725e-001
+2.05040000000e+001, +2.65713130069e-001, -5.77499998444e-001, -2.07881841504e-005, +2.65699633044e-001
+2.06330000000e+001, +2.65254154788e-001, -6.63898412153e-001, -2.37076893451e-005, +2.65236348011e-001
+2.07610000000e+001, +2.61741758651e-001, +7.09328449696e-002, +2.48410251672e-006, +2.61741558069e-001
+2.08910000000e+001, +2.65555901730e-001, +9.88429687822e-003, +3.49011716561e-007, +2.65555897778e-001
+2.10220000000e+001, +2.63034308733e-001, -4.73140538612e-002, -1.64447008376e-006, +2.63034219049e-001
+2.11530000000e+001, +2.64063091064e-001, -3.20626770069e-001, -1.11181043530e-005, +2.64058956489e-001
+2.12850000000e+001, +2.62685700851e-001, -5.98256668095e-001, -2.05087850767e-005, +2.62671381204e-001
+2.14180000000e+001, +2.65366245719e-001, -1.06600639395e+000, -3.66858865650e-005, +2.65320317721e-001
+2.15520000000e+001, +2.69137311177e-001, +4.72903842399e-001, +1.64040748345e-005, +2.69128143868e-001
+2.16860000000e+001, +2.63269744647e-001, -9.60712555371e-001, -3.23960539678e-005, +2.63232736065e-001
+2.18220000000e+001, +2.63899994212e-001, +7.69142013704e-001, +2.58366272536e-005, +2.63876216467e-001
+2.19580000000e+001, +2.62662189353e-001, -9.31228168225e-003, -3.09427123974e-007, +2.62662185883e-001
+2.20950000000e+001, +2.62411341588e-001, +7.17424436405e-002, +2.36680319392e-006, +2.62411135876e-001
+2.22330000000e+001, +2.63746021691e-001, -3.67464301658e-002, -1.21087823695e-006, +2.63745967448e-001
+2.23720000000e+001, +2.65306877560e-001, +1.93633295368e-001, +6.37852712672e-006, +2.65305362490e-001
+2.25120000000e+001, +2.65441631065e-001, -7.98370092033e-002, -2.61490897255e-006, +2.65441373372e-001
+2.26530000000e+001, +2.66471049771e-001, +4.26741868196e-001, +1.39438610348e-005, +2.66463658769e-001
+2.27940000000e+001, +2.64899369923e-001, +8.61807170734e-003, +2.78206954634e-007, +2.64899366926e-001
+2.29360000000e+001, +2.67006777094e-001, -7.10708226490e-001, -2.29817083692e-005, +2.66986235973e-001
