!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 20:28:10 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.83450000000e+001, +2.88423609064e-001, +2.16532659040e+000, +6.11887906023e-005, +2.88217664338e-001
+2.85220000000e+001, +2.85374512781e-001, +1.26772290067e+000, +3.52307271111e-005, +2.85304662063e-001
+2.87000000000e+001, +2.90516186473e-001, +1.90995956465e+000, +5.36944840773e-005, +2.90354786595e-001
+2.88790000000e+001, +2.91681773403e-001, +1.71061639792e+000, +4.79858010859e-005, +2.91551784274e-001
+2.90600000000e+001, +2.92689918511e-001, +1.49548350224e+000, +4.18352112612e-005, +2.92590224034e-001
+2.92410000000e+001, +2.85554205346e-001, +1.63264555844e+000, +4.42819743740e-005, +2.85438282847e-001
+2.94240000000e+001, +2.90183784424e-001, +1.84650294356e+000, +5.05759153726e-005, +2.90033102798e-001
+2.96080000000e+001, +2.89947208961e-001, +1.60286577257e+000, +4.35961226463e-005, +2.89833757613e-001
+2.97930000000e+001, +2.91733798769e-001, +1.90685070251e+000, +5.18568970285e-005, +2.91572249580e-001
+2.99790000000e+001, +2.91858348250e-001, +1.74063825150e+000, +4.70645807244e-005, +2.91723675260e-001
+3.01660000000e+001, +2.87711249359e-001, +2.51535111660e+000, +6.66186334213e-005, +2.87434039250e-001
+3.03550000000e+001, +2.88240502039e-001, +1.97075273191e+000, +5.19719206019e-005, +2.88070011140e-001
+3.05440000000e+001, +2.88950739321e-001, +1.45244055600e+000, +3.81634167718e-005, +2.88857902122e-001
+3.07350000000e+001, +2.86842559966e-001, +1.54950932043e+000, +4.01651251117e-005, +2.86737670893e-001
+3.09270000000e+001, +2.86070969052e-001, +1.91798690698e+000, +4.92717532623e-005, +2.85910700155e-001
+3.11200000000e+001, +2.92069938407e-001, +1.51408061177e+000, +3.94678274793e-005, +2.91967965613e-001
+3.13140000000e+001, +2.87738718198e-001, +2.19075356190e+000, +5.59042668300e-005, +2.87528409524e-001
+3.15100000000e+001, +2.90453187087e-001, +1.81012108391e+000, +4.63404901091e-005, +2.90308249837e-001
+3.17070000000e+001, +2.87651271056e-001, +2.09040111488e+000, +5.26674048246e-005, +2.87459844530e-001
+3.19050000000e+001, +2.89151261735e-001, +1.60957602599e+000, +4.05152210081e-005, +2.89037172607e-001
+3.21040000000e+001, +2.86357192779e-001, +3.00421939901e+000, +7.44010522178e-005, +2.85963645761e-001
+3.23050000000e+001, +2.88345473752e-001, +2.14659064110e+000, +5.32094195028e-005, +2.88143131983e-001
+3.25070000000e+001, +2.88824949288e-001, +1.84702311439e+000, +4.55777017019e-005, +2.88674888751e-001
+3.27100000000e+001, +2.84947903442e-001, +2.09500973722e+000, +5.06840940671e-005, +2.84757439000e-001
+3.29140000000e+001, +2.85813317270e-001, +1.40265611866e+000, +3.38303993629e-005, +2.85727675047e-001
+3.31200000000e+001, +2.90522294368e-001, +2.37484823451e+000, +5.78493037686e-005, +2.90272769549e-001
+3.33260000000e+001, +2.88235465096e-001, +1.90356235130e+000, +4.57244967070e-005, +2.88076403103e-001
