!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 21:37:42 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +3.42043398625e-001, +7.79002426007e+000, +3.68933993335e-004, +3.38886835669e-001
+2.01250000000e+001, +3.45654678820e-001, +8.00617893417e+000, +3.80728254861e-004, +3.42285601391e-001
+2.02510000000e+001, +3.46127113538e-001, +8.27446984724e+000, +3.91485923816e-004, +3.42523935070e-001
+2.03770000000e+001, +3.41453280178e-001, +8.85723188139e+000, +4.10634491694e-004, +3.37381474820e-001
+2.05040000000e+001, +3.44320737870e-001, +7.76323980442e+000, +3.61023465285e-004, +3.41164938394e-001
+2.06330000000e+001, +3.42672339928e-001, +8.15451746143e+000, +3.74925756988e-004, +3.39207628130e-001
+2.07610000000e+001, +3.43851167250e-001, +8.68506613537e+000, +3.98041567492e-004, +3.39908321721e-001
+2.08910000000e+001, +3.44169264195e-001, +8.64738194436e+000, +3.94225745267e-004, +3.40256879329e-001
+2.10220000000e+001, +3.46059868683e-001, +9.03829259585e+000, +4.11583932083e-004, +3.41763040506e-001
+2.11530000000e+001, +3.44749196042e-001, +8.75591007184e+000, +3.94855655722e-004, +3.40731424668e-001
+2.12850000000e+001, +3.42362733555e-001, +8.86237289791e+000, +3.94391190885e-004, +3.38275351714e-001
+2.14180000000e+001, +3.46176428829e-001, +8.65339492219e+000, +3.87035047042e-004, +3.42235763085e-001
+2.15520000000e+001, +3.46071283244e-001, +9.17643620478e+000, +4.07559732731e-004, +3.41642240555e-001
+2.16860000000e+001, +3.46189114421e-001, +8.93974808452e+000, +3.94814569431e-004, +3.41983712929e-001
+2.18220000000e+001, +3.44909001189e-001, +9.40507539328e+000, +4.11071770618e-004, +3.40272627453e-001
+2.19580000000e+001, +3.46912257967e-001, +8.83919345626e+000, +3.86378472207e-004, +3.42792154376e-001
+2.20950000000e+001, +3.45790473920e-001, +8.97835657204e+000, +3.88717887085e-004, +3.41553628799e-001
+2.22330000000e+001, +3.46027860075e-001, +9.50284119895e+000, +4.08950773088e-004, +3.41279463664e-001
+2.23720000000e+001, +3.41877300577e-001, +8.87791920029e+000, +3.75348693376e-004, +3.37781410553e-001
+2.25120000000e+001, +3.47293007037e-001, +8.96315286325e+000, +3.82531711222e-004, +3.43052121815e-001
+2.26530000000e+001, +3.46805708749e-001, +9.95112429625e+000, +4.21060565488e-004, +3.41588198539e-001
+2.27940000000e+001, +3.42657370441e-001, +9.43285461032e+000, +3.92117757932e-004, +3.38024075645e-001
+2.29360000000e+001, +3.44886515301e-001, +9.74113730225e+000, +4.04922080743e-004, +3.39914025262e-001
