!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 21:05:58 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +3.13709968990e-001, +7.30067245187e-001, +3.18087743533e-005, +3.13684502276e-001
+2.01250000000e+001, +3.16486043408e-001, +7.88087063065e-001, +3.44252162668e-005, +3.16456105541e-001
+2.02510000000e+001, +3.16319078106e-001, +3.34259799375e-001, +1.45030083318e-005, +3.16313695195e-001
+2.03770000000e+001, +3.16435639873e-001, +5.82502767733e-001, +2.51265670944e-005, +3.16419286687e-001
+2.05040000000e+001, +3.16059442997e-001, +9.85968246306e-002, +4.22172937718e-006, +3.16058975026e-001
+2.06330000000e+001, +3.14478754619e-001, +1.71128124651e-001, +7.24514659741e-006, +3.14477351939e-001
+2.07610000000e+001, +3.16151413963e-001, +8.23516283963e-002, +3.48350470104e-006, +3.16151087402e-001
+2.08910000000e+001, +3.17304290354e-001, +1.34917332034e+000, +5.69169766977e-005, +3.17216324099e-001
+2.10220000000e+001, +3.17998982736e-001, +5.83354201016e-001, +2.45117334126e-005, +3.17982500680e-001
+2.11530000000e+001, +3.20100229370e-001, +4.31068392724e-001, +1.81198082801e-005, +3.20091169937e-001
+2.12850000000e+001, +3.17652928844e-001, +6.33332853480e-001, +2.62542660447e-005, +3.17633522791e-001
+2.14180000000e+001, +3.14672630228e-001, +4.08913316163e-001, +1.66880319253e-005, +3.14664616320e-001
+2.15520000000e+001, +3.16187248124e-001, +6.92493095531e-001, +2.82201388164e-005, +3.16164154361e-001
+2.16860000000e+001, +3.17271136513e-001, +1.24406018349e+000, +5.05540408822e-005, +3.17196350390e-001
+2.18220000000e+001, +3.14901967754e-001, +1.01102695320e+000, +4.05245795658e-005, +3.14852943125e-001
+2.19580000000e+001, +3.17810049307e-001, +1.22199502758e+000, +4.91257119420e-005, +3.17737769867e-001
+2.20950000000e+001, +3.14236636855e-001, +4.81197745778e-001, +1.90098543806e-005, +3.14225554651e-001
+2.22330000000e+001, +3.16497087847e-001, +8.70173202597e-001, +3.44078993241e-005, +3.16460587456e-001
+2.23720000000e+001, +3.14317891197e-001, +9.04265522773e-001, +3.52890310471e-005, +3.14278746154e-001
+2.25120000000e+001, +3.17609586790e-001, +7.45780145233e-001, +2.92264169366e-005, +3.17582681737e-001
+2.26530000000e+001, +3.15062128444e-001, +4.91111655531e-001, +1.89733011574e-005, +3.15050554569e-001
+2.27940000000e+001, +3.16971741094e-001, +1.10423940778e+000, +4.26514555883e-005, +3.16912875934e-001
+2.29360000000e+001, +3.16644599982e-001, +9.33876015989e-001, +3.58114493187e-005, +3.16602540332e-001
+2.30800000000e+001, +3.14170185924e-001, +1.11874581528e+000, +4.22990380570e-005, +3.14110298069e-001
+2.32240000000e+001, +3.18109572515e-001, +7.15637690131e-001, +2.72282122628e-005, +3.18084759345e-001
+2.33690000000e+001, +3.16053010384e-001, +1.27945642834e+000, +4.80625387957e-005, +3.15974211943e-001
+2.35150000000e+001, +3.16914220437e-001, +8.54958684304e-001, +3.20053996372e-005, +3.16878938805e-001
+2.36620000000e+001, +3.16000893516e-001, +8.71244666772e-001, +3.23189881775e-005, +3.15964360549e-001
+2.38100000000e+001, +3.16644088745e-001, +1.02888456606e+000, +3.80060556468e-005, +3.16593036157e-001
+2.39580000000e+001, +3.16391272392e-001, +1.04285452238e+000, +3.82535005265e-005, +3.16338865947e-001
+2.41080000000e+001, +3.12941255295e-001, +1.51459514631e+000, +5.46065974098e-005, +3.12831921256e-001
+2.42590000000e+001, +3.17204414985e-001, +1.14608865838e+000, +4.16248882743e-005, +3.17140957054e-001
+2.44100000000e+001, +3.15790717096e-001, +6.06320580006e-001, +2.17882968203e-005, +3.15773035369e-001
+2.45630000000e+001, +3.16855058090e-001, +1.74427035295e+000, +6.24918596984e-005, +3.16708240044e-001
+2.47160000000e+001, +3.13616239422e-001, +2.57042867759e+000, +9.05686144939e-005, +3.13300694237e-001
+2.48700000000e+001, +3.13891605438e-001, +1.56613921176e+000, +5.49006764612e-005, +3.13774348614e-001
+2.50260000000e+001, +3.17913662332e-001, +1.60729513194e+000, +5.67092518479e-005, +3.17788579787e-001
+2.51820000000e+001, +3.13900238213e-001, +1.05674220359e+000, +3.65883946539e-005, +3.13846850395e-001
