!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 28 18:38:03 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +2.41597178384e-001, +1.18369013103e+000, +3.97160907545e-005, +2.41545622622e-001
+2.01250000000e+001, +2.38222825693e-001, +1.53170913210e+000, +5.03581251256e-005, +2.38137705059e-001
+2.02510000000e+001, +2.41988876302e-001, +1.53451075297e+000, +5.09289173605e-005, +2.41902093423e-001
+2.03770000000e+001, +2.34837491486e-001, +5.17548104200e-001, +1.65679777458e-005, +2.34827910931e-001
+2.05040000000e+001, +2.41192008576e-001, +8.84792566705e-001, +2.89098623824e-005, +2.41163250360e-001
+2.06330000000e+001, +2.40112602506e-001, +1.04622669780e+000, +3.38182974304e-005, +2.40072573093e-001
+2.07610000000e+001, +2.41247298569e-001, +8.93200519515e-001, +2.88298953377e-005, +2.41217984485e-001
+2.08910000000e+001, +2.41449856294e-001, +1.62885128181e+000, +5.22863293866e-005, +2.41352293258e-001
+2.10220000000e+001, +2.39504821776e-001, +1.19624847991e+000, +3.78553769291e-005, +2.39452622315e-001
+2.11530000000e+001, +2.42883014124e-001, +1.27885849445e+000, +4.07858112347e-005, +2.42822515034e-001
+2.12850000000e+001, +2.39107063104e-001, +4.97499632656e-001, +1.55239972459e-005, +2.39098049470e-001
+2.14180000000e+001, +2.38832858078e-001, +1.17940999231e+000, +3.65297578245e-005, +2.38782260109e-001
+2.15520000000e+001, +2.39127613559e-001, +1.74290750560e+000, +5.37089930232e-005, +2.39016984388e-001
+2.16860000000e+001, +2.43520024024e-001, +2.55278860950e+000, +7.96019818662e-005, +2.43278357063e-001
+2.18220000000e+001, +2.41480980701e-001, +1.66693289459e+000, +5.12321671579e-005, +2.41378789555e-001
+2.19580000000e+001, +2.41444437103e-001, +1.64159290296e+000, +5.01334934176e-005, +2.41345344060e-001
+2.20950000000e+001, +2.39692801181e-001, +2.08573703938e+000, +6.28379652900e-005, +2.39534001042e-001
+2.22330000000e+001, +2.41834547707e-001, +2.12477266302e+000, +6.41845789015e-005, +2.41668276040e-001
+2.23720000000e+001, +2.39715473694e-001, +1.68033942512e+000, +5.00061612116e-005, +2.39612391486e-001
+2.25120000000e+001, +2.40378153535e-001, +1.62267133316e+000, +4.81228034741e-005, +2.40281759129e-001
+2.26530000000e+001, +2.41874816937e-001, +1.51767755231e+000, +4.50081488386e-005, +2.41789967489e-001
+2.27940000000e+001, +2.38494517357e-001, +2.12684140077e+000, +6.18003192585e-005, +2.38330222684e-001
+2.29360000000e+001, +2.43512725588e-001, +2.48214797704e+000, +7.31801502300e-005, +2.43284253150e-001
+2.30800000000e+001, +2.41727673788e-001, +1.34792578885e+000, +3.92115480504e-005, +2.41660783502e-001
+2.32240000000e+001, +2.41480234068e-001, +2.15176154924e+000, +6.21346868764e-005, +2.41309961938e-001
+2.33690000000e+001, +2.43123955481e-001, +1.49515930454e+000, +4.32039345785e-005, +2.43041179796e-001
+2.35150000000e+001, +2.43169558607e-001, +1.88540229153e+000, +5.41486174005e-005, +2.43037914077e-001
+2.36620000000e+001, +2.42971012456e-001, +2.51132785528e+000, +7.16085467243e-005, +2.42737657784e-001
+2.38100000000e+001, +2.45273585691e-001, +2.13679995582e+000, +6.11296728761e-005, +2.45103035223e-001
+2.39580000000e+001, +2.40283010609e-001, +2.01246599688e+000, +5.60543411399e-005, +2.40134806496e-001
+2.41080000000e+001, +2.38720302297e-001, +2.35618494278e+000, +6.47906943914e-005, +2.38518478838e-001
+2.42590000000e+001, +2.41579718878e-001, +1.96725482635e+000, +5.44076992213e-005, +2.41437334028e-001
+2.44100000000e+001, +2.37453246346e-001, +2.84648010709e+000, +7.68842388344e-005, +2.37160271840e-001
+2.45630000000e+001, +2.39390626318e-001, +2.41350840248e+000, +6.53196131370e-005, +2.39178269949e-001
+2.47160000000e+001, +2.39333718384e-001, +1.40260316024e+000, +3.77237307412e-005, +2.39262008905e-001
+2.48700000000e+001, +2.40404805776e-001, +1.62372911023e+000, +4.35933558224e-005, +2.40308274961e-001
+2.50260000000e+001, +2.40933549054e-001, +2.79273518497e+000, +7.46553803038e-005, +2.40647397871e-001
+2.51820000000e+001, +2.40645109176e-001, +2.68938193501e+000, +7.13636929221e-005, +2.40380059665e-001
+2.53390000000e+001, +2.39589974652e-001, +2.53059849340e+000, +6.64444491631e-005, +2.39356322777e-001
+2.54980000000e+001, +2.38706437746e-001, +2.37595941872e+000, +6.17689267469e-005, +2.38501224839e-001
+2.56570000000e+001, +2.37789466916e-001, +2.64239807357e+000, +6.80030700705e-005, +2.37536632108e-001
+2.58170000000e+001, +2.41505521222e-001, +3.48488152400e+000, +9.04980043044e-005, +2.41058946693e-001
+2.59780000000e+001, +2.38174546041e-001, +2.79671688260e+000, +7.11972410476e-005, +2.37890864640e-001
+2.61410000000e+001, +2.39031145988e-001, +2.50492640675e+000, +6.36042899149e-005, +2.38802743937e-001
+2.63040000000e+001, +2.37100733683e-001, +2.50005239056e+000, +6.25777423116e-005, +2.36875056865e-001
+2.64680000000e+001, +2.37848752762e-001, +1.86796084138e+000, +4.66195504996e-005, +2.37722359860e-001
+2.66340000000e+001, +2.37050214032e-001, +3.06638933172e+000, +7.57742088305e-005, +2.36710810764e-001
+2.68000000000e+001, +2.40056382768e-001, +2.53304651887e+000, +6.30053815816e-005, +2.39821822963e-001
+2.69670000000e+001, +2.39935457695e-001, +2.33158068530e+000, +5.76089388022e-005, +2.39736820699e-001
+2.71360000000e+001, +2.36434920200e-001, +2.75209075426e+000, +6.65823360401e-005, +2.36162224456e-001
+2.73050000000e+001, +2.37537532834e-001, +3.30486880786e+000, +7.98180172146e-005, +2.37142489248e-001
+2.74760000000e+001, +2.39867933255e-001, +2.81972325396e+000, +6.83513896891e-005, +2.39577516112e-001
+2.76480000000e+001, +2.43746930914e-001, +2.79227200772e+000, +6.83531813483e-005, +2.43457534341e-001
+2.78200000000e+001, +2.40123191400e-001, +2.60582784413e+000, +6.24554685136e-005, +2.39874892140e-001
+2.79940000000e+001, +2.38680389832e-001, +2.96957468926e+000, +7.02989889740e-005, +2.38359886342e-001
+2.81690000000e+001, +2.36871425563e-001, +3.34058791351e+000, +7.79858059912e-005, +2.36468930838e-001
+2.83450000000e+001, +2.41269709454e-001, +3.00522895363e+000, +7.10235297756e-005, +2.40937904320e-001
+2.85220000000e+001, +2.40183874036e-001, +4.20336377731e+000, +9.82355565520e-005, +2.39537821631e-001
+2.87000000000e+001, +2.40882728354e-001, +3.05620002174e+000, +7.12191972104e-005, +2.40540125501e-001
+2.88790000000e+001, +2.39209529680e-001, +3.46194104771e+000, +7.96066235858e-005, +2.38773003374e-001
+2.90600000000e+001, +2.38835810744e-001, +3.78293207272e+000, +8.63006960150e-005, +2.38315427267e-001
+2.92410000000e+001, +2.41254728307e-001, +3.74640671561e+000, +8.57998486990e-005, +2.40739172504e-001
+2.94240000000e+001, +2.45051961504e-001, +2.50813375176e+000, +5.80050693077e-005, +2.44817206448e-001
+2.96080000000e+001, +2.36732122804e-001, +2.91705764467e+000, +6.47594267000e-005, +2.36425377345e-001
+2.97930000000e+001, +2.39844622847e-001, +3.01526432487e+000, +6.73966258938e-005, +2.39512571482e-001
+2.99790000000e+001, +2.40283491625e-001, +4.12187831086e+000, +9.16905934793e-005, +2.39661976512e-001
+3.01660000000e+001, +2.40831283667e-001, +3.86125103742e+000, +8.55641672274e-005, +2.40284608504e-001
+3.03550000000e+001, +2.40018913065e-001, +2.63462089977e+000, +5.78465952000e-005, +2.39765207529e-001
+3.05440000000e+001, +2.40828883013e-001, +3.35289406628e+000, +7.33925692858e-005, +2.40416644051e-001
+3.07350000000e+001, +2.40167380414e-001, +3.28679305125e+000, +7.13037616778e-005, +2.39772319213e-001
+3.09270000000e+001, +2.37266136341e-001, +3.86760750927e+000, +8.23584171188e-005, +2.36725779851e-001
+3.11200000000e+001, +2.38587806792e-001, +2.78881256549e+000, +5.93682139612e-005, +2.38305236895e-001
+3.13140000000e+001, +2.42203767619e-001, +3.29468293656e+000, +7.07479901951e-005, +2.41803442156e-001
+3.15100000000e+001, +2.40333752193e-001, +3.54012751775e+000, +7.49560004638e-005, +2.39875146809e-001
+3.17070000000e+001, +2.37527119259e-001, +3.80873755420e+000, +7.91984526530e-005, +2.37002504983e-001
+3.19050000000e+001, +2.41019891819e-001, +4.36603044351e+000, +9.15288517026e-005, +2.40320467087e-001
+3.21040000000e+001, +2.40104299916e-001, +4.69791669917e+000, +9.74892801156e-005, +2.39297637221e-001
+3.23050000000e+001, +2.37548495401e-001, +4.07351553262e+000, +8.31349199711e-005, +2.36948382678e-001
+3.25070000000e+001, +2.42328898874e-001, +5.00401698744e+000, +1.03488559563e-004, +2.41405282918e-001
+3.27100000000e+001, +2.39967424966e-001, +4.07814496064e+000, +8.30357555209e-005, +2.39359823252e-001
+3.29140000000e+001, +2.40272157623e-001, +4.04655218004e+000, +8.19868735186e-005, +2.39673169861e-001
+3.31200000000e+001, +2.38202362755e-001, +4.69228011568e+000, +9.36378849333e-005, +2.37404007992e-001
+3.33260000000e+001, +2.41111693397e-001, +4.06606968882e+000, +8.16474838585e-005, +2.40504802849e-001
+3.35350000000e+001, +2.39274789905e-001, +4.45797742803e+000, +8.82664617470e-005, +2.38550890354e-001
+3.37440000000e+001, +2.40837550009e-001, +4.18958971337e+000, +8.29869006937e-005, +2.40193976126e-001
+3.39550000000e+001, +2.41138224910e-001, +4.83913307528e+000, +9.53478581679e-005, +2.40278681625e-001
+3.41670000000e+001, +2.39871253098e-001, +4.41267905882e+000, +8.59689813893e-005, +2.39160214870e-001
+3.43800000000e+001, +2.37943737440e-001, +4.50824334982e+000, +8.65814860369e-005, +2.37207547898e-001
+3.45950000000e+001, +2.41630905257e-001, +4.18707563198e+000, +8.11635115935e-005, +2.40985985701e-001
+3.48110000000e+001, +2.41581006283e-001, +4.03698760975e+000, +7.77574134017e-005, +2.40981598080e-001
+3.50290000000e+001, +2.35935508507e-001, +4.69263703555e+000, +8.76989485117e-005, +2.35144631056e-001
+3.52480000000e+001, +2.40290478438e-001, +4.14515964178e+000, +7.84263356806e-005, +2.39661907367e-001
+3.54680000000e+001, +2.40503733810e-001, +4.03369544001e+000, +7.59148810275e-005, +2.39907971002e-001
+3.56890000000e+001, +2.39586853980e-001, +5.05533269562e+000, +9.41482407601e-005, +2.38654876444e-001
+3.59120000000e+001, +2.36930028078e-001, +4.21914564301e+000, +7.72520408760e-005, +2.36287935541e-001
+3.61360000000e+001, +2.38253964434e-001, +5.41149680681e+000, +9.89621413630e-005, +2.37192081061e-001
+3.63620000000e+001, +2.39330554454e-001, +5.48967208412e+000, +1.00214278862e-004, +2.38232855049e-001
+3.65890000000e+001, +2.36980007884e-001, +3.99278204457e+000, +7.17765706264e-005, +2.36404817133e-001
+3.68180000000e+001, +2.36583789001e-001, +4.96153582683e+000, +8.84495259203e-005, +2.35697305655e-001
+3.70480000000e+001, +2.38715550063e-001, +5.42711172379e+000, +9.69912574240e-005, +2.37645465153e-001
+3.72790000000e+001, +2.38494504529e-001, +5.19501052669e+000, +9.21940366061e-005, +2.37514837642e-001
+3.75120000000e+001, +2.41126134102e-001, +4.90273845931e+000, +8.74339647922e-005, +2.40243904827e-001
+3.77460000000e+001, +2.39624498020e-001, +4.70501114696e+000, +8.28762756738e-005, +2.38817015360e-001
+3.79820000000e+001, +2.40496338992e-001, +5.26605888805e+000, +9.24915869221e-005, +2.39481262229e-001
+3.82200000000e+001, +2.36197220808e-001, +5.17344964935e+000, +8.86893629069e-005, +2.35235021831e-001
+3.84580000000e+001, +2.34507452309e-001, +5.21670160683e+000, +8.82395416006e-005, +2.33536107688e-001
+3.86990000000e+001, +2.39206872270e-001, +5.11432969576e+000, +8.76967011163e-005, +2.38254542291e-001
+3.89400000000e+001, +2.38290872849e-001, +4.94685248333e+000, +8.39843215743e-005, +2.37403266773e-001
+3.91830000000e+001, +2.42432571083e-001, +4.69842869894e+000, +8.06596955268e-005, +2.41617908806e-001
+3.94280000000e+001, +2.40983026011e-001, +5.02767888890e+000, +8.52489915879e-005, +2.40055838512e-001
+3.96750000000e+001, +2.40443752990e-001, +5.00417263212e+000, +8.41344889006e-005, +2.39527265133e-001
+3.99220000000e+001, +2.41931667062e-001, +5.11706843859e+000, +8.60244016896e-005, +2.40967457975e-001
+4.01720000000e+001, +2.41497943100e-001, +5.49856223275e+000, +9.16789835112e-005, +2.40386715234e-001
+4.04230000000e+001, +2.36704663737e-001, +6.43694021893e+000, +1.04481953302e-004, +2.35212440950e-001
+4.06750000000e+001, +2.39211337628e-001, +5.64631704301e+000, +9.20902792082e-005, +2.38050729731e-001
+4.09290000000e+001, +2.36563605016e-001, +5.86166454203e+000, +9.39458086728e-005, +2.35326701664e-001
+4.11850000000e+001, +2.39741325753e-001, +5.69313498187e+000, +9.19047443690e-005, +2.38558792800e-001
+4.14420000000e+001, +2.36320533022e-001, +5.54520077155e+000, +8.76995419384e-005, +2.35214618079e-001
+4.17010000000e+001, +2.41697404991e-001, +5.42357620780e+000, +8.71886587182e-005, +2.40615363511e-001
+4.19620000000e+001, +2.39025928052e-001, +6.05719041133e+000, +9.56639461278e-005, +2.37691461526e-001
+4.22240000000e+001, +2.39113308827e-001, +5.63533792676e+000, +8.85036953636e-005, +2.37957680221e-001
+4.24870000000e+001, +2.38722626456e-001, +6.00627739773e+000, +9.35717360788e-005, +2.37412143590e-001
+4.27530000000e+001, +2.40330635618e-001, +5.59830693059e+000, +8.72781411038e-005, +2.39184326520e-001
+4.30200000000e+001, +2.38708328208e-001, +6.50332912562e+000, +1.00022446945e-004, +2.37172306099e-001
+4.32890000000e+001, +2.37999477436e-001, +5.15231175159e+000, +7.85801052567e-005, +2.37037837855e-001
+4.35590000000e+001, +2.37591977729e-001, +6.73652134341e+000, +1.01832405443e-004, +2.35951661672e-001
+4.38310000000e+001, +2.41656476534e-001, +7.14537810188e+000, +1.09147413667e-004, +2.39779708211e-001
+4.41050000000e+001, +2.40997359100e-001, +5.94151335184e+000, +9.00202867419e-005, +2.39702740144e-001
+4.43800000000e+001, +2.35346784143e-001, +6.70600348853e+000, +9.85576273527e-005, +2.33736640115e-001
+4.46580000000e+001, +2.43948822875e-001, +6.22813341434e+000, +9.43190148555e-005, +2.42508991599e-001
+4.49360000000e+001, +2.38906718369e-001, +5.65296058636e+000, +8.33494205003e-005, +2.37744861337e-001
+4.52170000000e+001, +2.40002631616e-001, +6.83247533687e+000, +1.00498605990e-004, +2.38298189820e-001
+4.55000000000e+001, +2.38970506058e-001, +6.57082124324e+000, +9.56527944511e-005, +2.37400749499e-001
+4.57840000000e+001, +2.38614888057e-001, +6.30897152132e+000, +9.11510968383e-005, +2.37169779216e-001
+4.60700000000e+001, +2.39862010144e-001, +6.87748528201e+000, +9.92263493575e-005, +2.38136076758e-001
+4.63580000000e+001, +2.37600769594e-001, +6.16134038848e+000, +8.75504748803e-005, +2.36228294618e-001
+4.66470000000e+001, +2.38263070365e-001, +6.63005979111e+000, +9.38595151045e-005, +2.36669645100e-001
+4.69390000000e+001, +2.39993654443e-001, +7.64553785038e+000, +1.08263446245e-004, +2.37860137672e-001
+4.72320000000e+001, +2.38055655351e-001, +7.42924743442e+000, +1.03721035442e-004, +2.36057246604e-001
+4.75270000000e+001, +2.39131834408e-001, +6.88322576497e+000, +9.59712942991e-005, +2.37408284853e-001
+4.78240000000e+001, +2.39805431371e-001, +7.74164718021e+000, +1.07503282420e-004, +2.37619735796e-001
+4.81220000000e+001, +2.41392939410e-001, +7.34692673901e+000, +1.02092374908e-004, +2.39411113199e-001
+4.84230000000e+001, +2.38319874000e-001, +7.15349347670e+000, +9.75428335305e-005, +2.36464817471e-001
+4.87250000000e+001, +2.45030743620e-001, +7.03724811150e+000, +9.80565516226e-005, +2.43184857043e-001
+4.90300000000e+001, +2.41585545004e-001, +7.17719521223e+000, +9.79771781589e-005, +2.39692603324e-001
+4.93360000000e+001, +2.39655832386e-001, +7.25037680296e+000, +9.75713820447e-005, +2.37739573041e-001
+4.96440000000e+001, +2.35306786517e-001, +7.17983778494e+000, +9.42849982417e-005, +2.33461685831e-001
+4.99540000000e+001, +2.37228533579e-001, +8.06234346322e+000, +1.06003764987e-004, +2.34883778255e-001
+5.02660000000e+001, +2.36519934380e-001, +7.26974130771e+000, +9.47641312057e-005, +2.34618647327e-001
+5.05800000000e+001, +2.37062191251e-001, +7.62825890231e+000, +9.90199263141e-005, +2.34964235758e-001
+5.08960000000e+001, +2.42666541333e-001, +8.27725671119e+000, +1.09244223289e-004, +2.40138687035e-001
+5.12140000000e+001, +2.40857227169e-001, +7.10006618708e+000, +9.25164168272e-005, +2.39010284600e-001
+5.15340000000e+001, +2.44045936247e-001, +8.92545590652e+000, +1.16935859034e-004, +2.41090791834e-001
+5.18560000000e+001, +2.39197168486e-001, +8.27416189891e+000, +1.05649628473e-004, +2.36707314285e-001
+5.21800000000e+001, +2.39068463932e-001, +8.32241989720e+000, +1.05544861684e-004, +2.36550888107e-001
