!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 03:08:47 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +3.12905148424e+000, +7.75209589160e+001, +2.43119361924e-002, +6.76133168289e-001
+2.01250000000e+001, +3.14712960558e+000, +7.75211031397e+001, +2.43005338938e-002, +6.80031798635e-001
+2.02510000000e+001, +3.16500251427e+000, +7.74153214586e+001, +2.42765203397e-002, +6.89597912736e-001
+2.03770000000e+001, +3.18414494745e+000, +7.75664792259e+001, +2.42865393081e-002, +6.85567710472e-001
+2.05040000000e+001, +3.20643666330e+000, +7.76507312758e+001, +2.43129374361e-002, +6.85762117238e-001
+2.06330000000e+001, +3.22190310973e+000, +7.76933794079e+001, +2.42814214291e-002, +6.86727008163e-001
+2.07610000000e+001, +3.24578041644e+000, +7.76716638849e+001, +2.43085433133e-002, +6.93018152471e-001
+2.08910000000e+001, +3.26315207695e+000, +7.76799014527e+001, +2.42873311496e-002, +6.96268896946e-001
+2.10220000000e+001, +3.28061197260e+000, +7.77533740028e+001, +2.42719014463e-002, +6.95883822141e-001
+2.11530000000e+001, +3.29794280172e+000, +7.77192400455e+001, +2.42458757505e-002, +7.01479954140e-001
+2.12850000000e+001, +3.32616643921e+000, +7.78024156772e+001, +2.43093759357e-002, +7.02764375990e-001
+2.14180000000e+001, +3.34698022939e+000, +7.78834215258e+001, +2.43169999019e-002, +7.02536085901e-001
+2.15520000000e+001, +3.36734817086e+000, +7.77968926363e+001, +2.43049583006e-002, +7.11782665204e-001
+2.16860000000e+001, +3.38376805861e+000, +7.79476575427e+001, +2.42862878268e-002, +7.06548328784e-001
+2.18220000000e+001, +3.40476532626e+000, +7.80120692923e+001, +2.42905077512e-002, +7.07188962848e-001
+2.19580000000e+001, +3.42475022071e+000, +7.79092837207e+001, +2.42724670692e-002, +7.17348621226e-001
+2.20950000000e+001, +3.45319049606e+000, +7.79639946422e+001, +2.43272465722e-002, +7.20081139057e-001
+2.22330000000e+001, +3.47537450639e+000, +7.79087818971e+001, +2.43265503176e-002, +7.27982154334e-001
+2.23720000000e+001, +3.48689126737e+000, +7.81254143985e+001, +2.42749919346e-002, +7.17498079337e-001
+2.25120000000e+001, +3.50515828621e+000, +7.82219457517e+001, +2.42589648115e-002, +7.15476784535e-001
+2.26530000000e+001, +3.52624984306e+000, +7.82417652631e+001, +2.42547812528e-002, +7.18587869907e-001
+2.27940000000e+001, +3.55187167647e+000, +7.82486252756e+001, +2.42804957958e-002, +7.23392803748e-001
+2.29360000000e+001, +3.57697329024e+000, +7.83164711195e+001, +2.43066723509e-002, +7.24357782786e-001
+2.30800000000e+001, +3.59691105000e+000, +7.82845396801e+001, +2.42868539991e-002, +7.30358238293e-001
+2.32240000000e+001, +3.61400965967e+000, +7.83311894372e+001, +2.42550866761e-002, +7.30948694681e-001
+2.33690000000e+001, +3.64369114082e+000, +7.84335686449e+001, +2.43114865953e-002, +7.30574538496e-001
+2.35150000000e+001, +3.65807996540e+000, +7.83927672423e+001, +2.42524093372e-002, +7.36011456562e-001
+2.36620000000e+001, +3.68237904196e+000, +7.83995439711e+001, +2.42624283402e-002, +7.40473832791e-001
+2.38100000000e+001, +3.70708843632e+000, +7.85147292299e+001, +2.42833773850e-002, +7.38140677074e-001
+2.39580000000e+001, +3.73248609856e+000, +7.85404678716e+001, +2.43009230959e-002, +7.41554535759e-001
+2.41080000000e+001, +3.75026560795e+000, +7.85940290533e+001, +2.42693463707e-002, +7.41650636462e-001
+2.42590000000e+001, +3.77457329995e+000, +7.85709485143e+001, +2.42726320997e-002, +7.47948140082e-001
+2.44100000000e+001, +3.79307350262e+000, +7.86105752369e+001, +2.42440961750e-002, +7.49042521904e-001
+2.45630000000e+001, +3.82018474126e+000, +7.86296708931e+001, +2.42669172196e-002, +7.53148183190e-001
+2.47160000000e+001, +3.84948374486e+000, +7.87084587329e+001, +2.43083579485e-002, +7.53734195961e-001
+2.48700000000e+001, +3.87478785491e+000, +7.86320441397e+001, +2.43101373725e-002, +7.63755821246e-001
+2.50260000000e+001, +3.89440977578e+000, +7.87773771378e+001, +2.42932434990e-002, +7.57936494385e-001
+2.51820000000e+001, +3.91430808721e+000, +7.87522733285e+001, +2.42639936531e-002, +7.63491300546e-001
+2.53390000000e+001, +3.94129152732e+000, +7.88175330828e+001, +2.42853667953e-002, +7.64351061748e-001
+2.54980000000e+001, +3.95817407490e+000, +7.89037469037e+001, +2.42444886142e-002, +7.61781449492e-001
+2.56570000000e+001, +3.97959599959e+000, +7.88574389785e+001, +2.42207941018e-002, +7.69060297367e-001
+2.58170000000e+001, +4.01047184346e+000, +7.88287821181e+001, +2.42550471534e-002, +7.76995035381e-001
+2.59780000000e+001, +4.03176989054e+000, +7.89590687577e+001, +2.42435553853e-002, +7.72125083532e-001
+2.61410000000e+001, +4.05930602607e+000, +7.89168257040e+001, +2.42534364645e-002, +7.80335773901e-001
+2.63040000000e+001, +4.08028429488e+000, +7.89309496112e+001, +2.42288762273e-002, +7.83381416138e-001
+2.64680000000e+001, +4.11088828749e+000, +7.89571828123e+001, +2.42615221941e-002, +7.87409872871e-001
+2.66340000000e+001, +4.13481269423e+000, +7.89994599708e+001, +2.42541108399e-002, +7.88997712000e-001
+2.68000000000e+001, +4.15712672611e+000, +7.91297308565e+001, +2.42446079305e-002, +7.83975393051e-001
+2.69670000000e+001, +4.18026156254e+000, +7.91096118631e+001, +2.42269199778e-002, +7.89779777698e-001
+2.71360000000e+001, +4.20878376542e+000, +7.91337744047e+001, +2.42422744253e-002, +7.93425481369e-001
+2.73050000000e+001, +4.23247930172e+000, +7.91141517323e+001, +2.42262762127e-002, +7.99315986068e-001
+2.74760000000e+001, +4.25590819131e+000, +7.92095089759e+001, +2.42164860729e-002, +7.96783848560e-001
+2.76480000000e+001, +4.28641700238e+000, +7.92026636551e+001, +2.42377994712e-002, +8.02998707977e-001
