!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 02:13:13 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.00000000000e+001, +4.24942034239e+000, +7.00294526503e+001, +3.17824106965e-002, +1.45133450149e+000
+2.01250000000e+001, +4.27237761353e+000, +7.00347864216e+001, +3.17567148609e-002, +1.45880144608e+000
+2.02510000000e+001, +4.30024274519e+000, +7.00728827654e+001, +3.17726267458e-002, +1.46562823989e+000
+2.03770000000e+001, +4.30737285036e+000, +7.02165988196e+001, +3.16571796437e-002, +1.45789636919e+000
+2.05040000000e+001, +4.34522840258e+000, +7.02686447831e+001, +3.17479519386e-002, +1.46699442660e+000
+2.06330000000e+001, +4.36865281486e+000, +7.03422995932e+001, +3.17341367879e-002, +1.46961528670e+000
+2.07610000000e+001, +4.39564096139e+000, +7.03601161751e+001, +3.17368410577e-002, +1.47740683264e+000
+2.08910000000e+001, +4.41579568783e+000, +7.04234895909e+001, +3.16964498718e-002, +1.47958002000e+000
+2.10220000000e+001, +4.44077789658e+000, +7.04302826748e+001, +3.16784708041e-002, +1.48745461010e+000
+2.11530000000e+001, +4.46565034835e+000, +7.04759169908e+001, +3.16675703076e-002, +1.49243395844e+000
+2.12850000000e+001, +4.49057491613e+000, +7.05052512994e+001, +3.16525765827e-002, +1.49859673752e+000
+2.14180000000e+001, +4.51067640178e+000, +7.05774118202e+001, +3.16108942191e-002, +1.49994857720e+000
+2.15520000000e+001, +4.52913461528e+000, +7.08206249687e+001, +3.15898311078e-002, +1.48794153518e+000
+2.16860000000e+001, +4.55830970861e+000, +7.08319939060e+001, +3.15990476886e-002, +1.49667202141e+000
+2.18220000000e+001, +4.59197456183e+000, +7.07371050066e+001, +3.16157766706e-002, +1.51490670585e+000
+2.19580000000e+001, +4.61250933416e+000, +7.07674865564e+001, +3.15663102149e-002, +1.51937208679e+000
+2.20950000000e+001, +4.63595280253e+000, +7.07315912525e+001, +3.15231294364e-002, +1.52983641290e+000
+2.22330000000e+001, +4.66194858251e+000, +7.05375213351e+001, +3.14656497067e-002, +1.55331222063e+000
+2.23720000000e+001, +4.68077127978e+000, +7.10554484962e+001, +3.14954122695e-002, +1.51962628944e+000
+2.25120000000e+001, +4.71278265993e+000, +7.12181237175e+001, +3.15441845776e-002, +1.51735689598e+000
+2.26530000000e+001, +4.74199360148e+000, +7.12038308712e+001, +3.15394673238e-002, +1.52788172058e+000
+2.27940000000e+001, +4.77171923120e+000, +7.12268331721e+001, +3.15451615886e-002, +1.53564574529e+000
+2.29360000000e+001, +4.79510426008e+000, +7.13225666847e+001, +3.15213470410e-002, +1.53558368329e+000
+2.30800000000e+001, +4.81527388152e+000, +7.13602192298e+001, +3.14634220923e-002, +1.53904470729e+000
+2.32240000000e+001, +4.84713495683e+000, +7.13883405194e+001, +3.14804330169e-002, +1.54697364015e+000
+2.33690000000e+001, +4.88033665453e+000, +7.14205064237e+001, +3.15053488447e-002, +1.55497324647e+000
+2.35150000000e+001, +4.90552736142e+000, +7.14633960760e+001, +3.14792590705e-002, +1.55951834574e+000
+2.36620000000e+001, +4.93653670410e+000, +7.14333922768e+001, +3.14759161518e-002, +1.57182730340e+000
+2.38100000000e+001, +4.95503656552e+000, +7.15604012246e+001, +3.14207903080e-002, +1.56730163801e+000
+2.39580000000e+001, +4.98884072390e+000, +7.15392914923e+001, +3.14358588925e-002, +1.57973763681e+000
+2.41080000000e+001, +5.00822644655e+000, +7.16099511548e+001, +3.13745465648e-002, +1.58001646920e+000
+2.42590000000e+001, +5.03621125796e+000, +7.16870337968e+001, +3.13674736881e-002, +1.58241437030e+000
+2.44100000000e+001, +5.06528351909e+000, +7.18564242332e+001, +3.13839297652e-002, +1.57732546619e+000
+2.45630000000e+001, +5.09004213907e+000, +7.18611121888e+001, +3.13417293275e-002, +1.58463951505e+000
+2.47160000000e+001, +5.12592902249e+000, +7.17654723180e+001, +3.13501213915e-002, +1.60394079275e+000
+2.48700000000e+001, +5.15488979814e+000, +7.19531968134e+001, +3.13656742569e-002, +1.59695279835e+000
+2.50260000000e+001, +5.17304204324e+000, +7.19702478877e+001, +3.12829489072e-002, +1.60111243304e+000
