!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Tue Sep 20 23:58:16 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.83450000000e+001, +1.44872853859e+001, +4.63075240780e+001, +5.88171180578e-002, +1.00076351482e+001
+2.85220000000e+001, +1.45411892384e+001, +4.61852118361e+001, +5.85498125514e-002, +1.00672933832e+001
+2.87000000000e+001, +1.45870291043e+001, +4.63284698768e+001, +5.85099550859e-002, +1.00726803880e+001
+2.88790000000e+001, +1.45779889694e+001, +4.66856625366e+001, +5.84559814029e-002, +1.00005069399e+001
+2.90600000000e+001, +1.46685590130e+001, +4.64891669849e+001, +5.82634562869e-002, +1.00991812959e+001
+2.92410000000e+001, +1.46802414660e+001, +4.67137016654e+001, +5.81640649912e-002, +1.00654238007e+001
+2.94240000000e+001, +1.47229265192e+001, +4.68874898376e+001, +5.81357394121e-002, +1.00621365429e+001
+2.96080000000e+001, +1.47866413352e+001, +4.69277213891e+001, +5.80626061948e-002, +1.00980993060e+001
+2.97930000000e+001, +1.48490730647e+001, +4.68038833015e+001, +5.78284719313e-002, +1.01641563226e+001
+2.99790000000e+001, +1.48632813193e+001, +4.69194463797e+001, +5.76334964192e-002, +1.01520063201e+001
+3.01660000000e+001, +1.49206185801e+001, +4.68935956746e+001, +5.74729108277e-002, +1.01960850459e+001
+3.03550000000e+001, +1.49212468065e+001, +4.71905673514e+001, +5.73938007330e-002, +1.01399136588e+001
+3.05440000000e+001, +1.50159968624e+001, +4.71169504443e+001, +5.73324907581e-002, +1.02184477743e+001
+3.07350000000e+001, +1.50589248654e+001, +4.70572894118e+001, +5.70838005405e-002, +1.02591447540e+001
+3.09270000000e+001, +1.51174988560e+001, +4.72757263736e+001, +5.71517193228e-002, +1.02567839468e+001
+3.11200000000e+001, +1.51474993936e+001, +4.74028545536e+001, +5.70264690164e-002, +1.02524228179e+001
+3.13140000000e+001, +1.51981570437e+001, +4.74289954723e+001, +5.68865516547e-002, +1.02816044423e+001
+3.15100000000e+001, +1.52474560269e+001, +4.76597591320e+001, +5.69254583277e-002, +1.02696467587e+001
+3.17070000000e+001, +1.52495189412e+001, +4.79067334749e+001, +5.68011330745e-002, +1.02223536268e+001
