!Agilent Technologies,E4990A,MY54101349,A.02.20
!Date: Wed Sep 21 01:14:12 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+2.83450000000e+001, +1.37956338329e+001, +6.53495908872e+001, +7.04023026633e-002, +5.75389098135e+000
+2.85220000000e+001, +1.38559635204e+001, +6.52501757966e+001, +7.02153111214e-002, +5.80089544264e+000
+2.87000000000e+001, +1.39174301986e+001, +6.55867832767e+001, +7.02779967112e-002, +5.75227557987e+000
+2.88790000000e+001, +1.39903746858e+001, +6.55305818758e+001, +7.01771619642e-002, +5.79491795133e+000
+2.90600000000e+001, +1.40536066680e+001, +6.56329502868e+001, +7.01121152475e-002, +5.79824597109e+000
+2.92410000000e+001, +1.41159533571e+001, +6.56513841180e+001, +6.99974369188e-002, +5.81983172142e+000
+2.94240000000e+001, +1.41883633308e+001, +6.57415087429e+001, +6.99686074816e-002, +5.82934542492e+000
+2.96080000000e+001, +1.42510485217e+001, +6.58653328595e+001, +6.99088456747e-002, +5.82700721401e+000
+2.97930000000e+001, +1.42912796728e+001, +6.59570389365e+001, +6.97207492453e-002, +5.82257483028e+000
+2.99790000000e+001, +1.43889536499e+001, +6.59902151190e+001, +6.97797382955e-002, +5.85475949524e+000
+3.01660000000e+001, +1.44375192892e+001, +6.61160294563e+001, +6.96491229264e-002, +5.84554644685e+000
+3.03550000000e+001, +1.45104123109e+001, +6.63195429473e+001, +6.96738992019e-002, +5.82789570316e+000
+3.05440000000e+001, +1.45850804587e+001, +6.62129857757e+001, +6.95421958851e-002, +5.88271594778e+000
+3.07350000000e+001, +1.46403980066e+001, +6.63230116258e+001, +6.94307402852e-002, +5.87929085474e+000
+3.09270000000e+001, +1.47061354723e+001, +6.63692803485e+001, +6.93340409168e-002, +5.89481162474e+000
+3.11200000000e+001, +1.47569424457e+001, +6.65486938303e+001, +6.92364851869e-002, +5.87281367531e+000
+3.13140000000e+001, +1.48216437747e+001, +6.65633265393e+001, +6.91168822114e-002, +5.89509002708e+000
+3.15100000000e+001, +1.49188670084e+001, +6.66927392471e+001, +6.92050317442e-002, +5.90282709669e+000
+3.17070000000e+001, +1.49941484093e+001, +6.67088243208e+001, +6.91304512213e-002, +5.92874692901e+000
+3.19050000000e+001, +1.50538377206e+001, +6.67570002444e+001, +6.89998644281e-002, +5.94072003566e+000
+3.21040000000e+001, +1.51168203027e+001, +6.67955555498e+001, +6.88789406987e-002, +5.95622683197e+000
+3.23050000000e+001, +1.51840504373e+001, +6.69869074196e+001, +6.88528574252e-002, +5.93607487089e+000
+3.25070000000e+001, +1.52680597021e+001, +6.70110211424e+001, +6.88158729204e-002, +5.96300266445e+000
+3.27100000000e+001, +1.53268614429e+001, +6.71560359784e+001, +6.87256794884e-002, +5.95023757813e+000
+3.29140000000e+001, +1.53821307676e+001, +6.73502005390e+001, +6.86434730225e-002, +5.92362162618e+000
+3.31200000000e+001, +1.54878417308e+001, +6.72523710957e+001, +6.86362926111e-002, +5.98872708879e+000
+3.33260000000e+001, +1.55196523753e+001, +6.73159273123e+001, +6.83838768841e-002, +5.98514736677e+000
+3.35350000000e+001, +1.56211935394e+001, +6.73830438681e+001, +6.84357630645e-002, +6.00741929515e+000
+3.37440000000e+001, +1.56765066596e+001, +6.74598195370e+001, +6.82907570730e-002, +6.00929470092e+000
+3.39550000000e+001, +1.57486847181e+001, +6.75512435387e+001, +6.82239274039e-002, +6.01374535389e+000
+3.41670000000e+001, +1.58291223167e+001, +6.76416138650e+001, +6.81912316625e-002, +6.02137880317e+000
+3.43800000000e+001, +1.59025547184e+001, +6.77079428710e+001, +6.81155129092e-002, +6.03228260252e+000
+3.45950000000e+001, +1.59960556014e+001, +6.76732332260e+001, +6.80732713403e-002, +6.07671511761e+000
+3.48110000000e+001, +1.60334413463e+001, +6.78034282284e+001, +6.78720973921e-002, +6.05719985549e+000
+3.50290000000e+001, +1.61276487171e+001, +6.78913629108e+001, +6.78884201426e-002, +6.06986523700e+000
+3.52480000000e+001, +1.61888409720e+001, +6.80047050520e+001, +6.77768961727e-002, +6.06321394386e+000
+3.54680000000e+001, +1.62790626790e+001, +6.80922355246e+001, +6.77735916278e-002, +6.07393830512e+000
+3.56890000000e+001, +1.63415929782e+001, +6.80611976473e+001, +6.75978883892e-002, +6.10548149175e+000
+3.59120000000e+001, +1.64379834014e+001, +6.81425748747e+001, +6.76129686808e-002, +6.11983213765e+000
+3.61360000000e+001, +1.65145597285e+001, +6.81950527185e+001, +6.75316455233e-002, +6.13430027336e+000
+3.63620000000e+001, +1.65688057516e+001, +6.83719787682e+001, +6.74152237258e-002, +6.10691762770e+000
+3.65890000000e+001, +1.66506874320e+001, +6.84414998931e+001, +6.73604114570e-002, +6.11831191379e+000
+3.68180000000e+001, +1.67304896234e+001, +6.85525127023e+001, +6.73136394902e-002, +6.11747554097e+000
+3.70480000000e+001, +1.68131520905e+001, +6.85662228594e+001, +6.72325834906e-002, +6.14395617511e+000
+3.72790000000e+001, +1.68724362381e+001, +6.87395666912e+001, +6.71309032201e-002, +6.11807608727e+000
+3.75120000000e+001, +1.69549127935e+001, +6.88508298492e+001, +6.70905711013e-002, +6.11728707092e+000
+3.77460000000e+001, +1.70446244930e+001, +6.88900541778e+001, +6.70451784522e-002, +6.13877067928e+000
+3.79820000000e+001, +1.71132189117e+001, +6.89886721143e+001, +6.69410894257e-002, +6.13598776100e+000
+3.82200000000e+001, +1.71774639228e+001, +6.90856774337e+001, +6.68173065874e-002, +6.13186535151e+000
+3.84580000000e+001, +1.72836273796e+001, +6.90610419739e+001, +6.68032199718e-002, +6.17670393208e+000
+3.86990000000e+001, +1.73633282773e+001, +6.92017559540e+001, +6.67558074416e-002, +6.16534130362e+000
+3.89400000000e+001, +1.74339074632e+001, +6.92497467269e+001, +6.66334965120e-002, +6.17674923827e+000
+3.91830000000e+001, +1.75153031706e+001, +6.93831785918e+001, +6.65879479204e-002, +6.16742637276e+000
+3.94280000000e+001, +1.75809472745e+001, +6.94428591017e+001, +6.64481811393e-002, +6.17339750988e+000
+3.96750000000e+001, +1.76801058016e+001, +6.94655826665e+001, +6.64168162794e-002, +6.20165023613e+000
+3.99220000000e+001, +1.77635475267e+001, +6.95914213110e+001, +6.63718047941e-002, +6.19436892183e+000
+4.01720000000e+001, +1.78377892729e+001, +6.96469401278e+001, +6.62582762878e-002, +6.20405540551e+000
+4.04230000000e+001, +1.79123752531e+001, +6.98417770194e+001, +6.62052143232e-002, +6.17285185221e+000
+4.06750000000e+001, +1.80116468280e+001, +6.98436664524e+001, +6.61604844978e-002, +6.20650462106e+000
+4.09290000000e+001, +1.80949443223e+001, +6.99635213291e+001, +6.61045459594e-002, +6.19965998163e+000
+4.11850000000e+001, +1.81749400893e+001, +7.00717936112e+001, +6.60294298553e-002, +6.19479033592e+000
+4.14420000000e+001, +1.82601135695e+001, +7.00385709852e+001, +6.59135975545e-002, +6.23377403827e+000
+4.17010000000e+001, +1.83453690656e+001, +7.01350056918e+001, +6.58501891966e-002, +6.23384820838e+000
+4.19620000000e+001, +1.84156226302e+001, +7.02521175937e+001, +6.57395872274e-002, +6.22230616921e+000
+4.22240000000e+001, +1.85232350147e+001, +7.02633816619e+001, +6.57180776200e-002, +6.25523891850e+000
+4.24870000000e+001, +1.86120039501e+001, +7.03024608926e+001, +6.56403089389e-002, +6.27326566570e+000
+4.27530000000e+001, +1.86963284065e+001, +7.04239357349e+001, +6.55770409551e-002, +6.26435419820e+000
+4.30200000000e+001, +1.87661925047e+001, +7.05378647143e+001, +6.54596943262e-002, +6.25259186734e+000
+4.32890000000e+001, +1.88708104831e+001, +7.05042560212e+001, +6.54020114678e-002, +6.29788461001e+000
+4.35590000000e+001, +1.89600010737e+001, +7.06255869255e+001, +6.53526290554e-002, +6.28978844466e+000
+4.38310000000e+001, +1.90230051828e+001, +7.07373444249e+001, +6.52074646038e-002, +6.27567360119e+000
+4.41050000000e+001, +1.91264166232e+001, +7.07281060545e+001, +6.51509682889e-002, +6.31270015953e+000
+4.43800000000e+001, +1.92159929530e+001, +7.06324613274e+001, +6.50124390710e-002, +6.37253612198e+000
+4.46580000000e+001, +1.92943327159e+001, +7.08552321381e+001, +6.49592947754e-002, +6.32769471990e+000
+4.49360000000e+001, +1.94006264604e+001, +7.11530198926e+001, +6.50293157191e-002, +6.26721327397e+000
+4.52170000000e+001, +1.94911474084e+001, +7.12163203780e+001, +6.49511710821e-002, +6.27607217306e+000
+4.55000000000e+001, +1.95859651250e+001, +7.13598482751e+001, +6.49162462386e-002, +6.26013291989e+000
+4.57840000000e+001, +1.96767867154e+001, +7.14163588828e+001, +6.48342537398e-002, +6.27076943895e+000
+4.60700000000e+001, +1.97825812732e+001, +7.14835852408e+001, +6.48037012332e-002, +6.28247956135e+000
+4.63580000000e+001, +1.98453287339e+001, +7.15901323315e+001, +6.46455026880e-002, +6.26740190495e+000
+4.66470000000e+001, +1.99520463130e+001, +7.17016225056e+001, +6.46321802694e-002, +6.26425559233e+000
+4.69390000000e+001, +2.00523751992e+001, +7.17074940048e+001, +6.45552822489e-002, +6.29380437575e+000
+4.72320000000e+001, +2.01514506669e+001, +7.17926906161e+001, +6.45034167776e-002, +6.29644381731e+000
+4.75270000000e+001, +2.02275254886e+001, +7.19194641049e+001, +6.43917147471e-002, +6.27768352244e+000
+4.78240000000e+001, +2.03240579798e+001, +7.19534739768e+001, +6.43096638918e-002, +6.29617327638e+000
+4.81220000000e+001, +2.04126805074e+001, +7.20707566183e+001, +6.42327806940e-002, +6.28388580513e+000
+4.84230000000e+001, +2.05097030874e+001, +7.21114926359e+001, +6.41516482267e-002, +6.29987805806e+000
+4.87250000000e+001, +2.06316092529e+001, +7.21753980092e+001, +6.41560243895e-002, +6.31542033778e+000
+4.90300000000e+001, +2.07220767547e+001, +7.22840164723e+001, +6.40754166333e-002, +6.30570326567e+000
+4.93360000000e+001, +2.08370880784e+001, +7.23541421001e+001, +6.40564089462e-002, +6.31640277588e+000
+4.96440000000e+001, +2.09175939543e+001, +7.25032282458e+001, +6.39576221771e-002, +6.28891778076e+000
+4.99540000000e+001, +2.10095687366e+001, +7.25156143657e+001, +6.38445456788e-002, +6.31223835492e+000
+5.02660000000e+001, +2.11286133905e+001, +7.25973835503e+001, +6.38363948929e-002, +6.31923798180e+000
+5.05800000000e+001, +2.12154317085e+001, +7.26749455390e+001, +6.37277468486e-002, +6.31779318291e+000
+5.08960000000e+001, +2.13050725068e+001, +7.27726517586e+001, +6.36334125137e-002, +6.30979521282e+000
+5.12140000000e+001, +2.14289915910e+001, +7.28328223976e+001, +6.36267945886e-002, +6.32499748335e+000
+5.15340000000e+001, +2.15271611344e+001, +7.28995190465e+001, +6.35441786929e-002, +6.33002617647e+000
+5.18560000000e+001, +2.16233321450e+001, +7.30953374493e+001, +6.34980415362e-002, +6.28763371302e+000
+5.21800000000e+001, +2.17256811044e+001, +7.30843535329e+001, +6.33987564379e-002, +6.32137959863e+000
+5.25060000000e+001, +2.18368803593e+001, +7.31811385716e+001, +6.33600492675e-002, +6.31843418660e+000
+5.28340000000e+001, +2.19401194719e+001, +7.32694445782e+001, +6.32937908837e-002, +6.31593024766e+000
+5.31640000000e+001, +2.20591145932e+001, +7.33079913943e+001, +6.32548397571e-002, +6.33597162344e+000
+5.34960000000e+001, +2.21417501134e+001, +7.34178906060e+001, +6.31339393550e-002, +6.31901451985e+000
+5.38300000000e+001, +2.22501781981e+001, +7.34895687389e+001, +6.30728972782e-002, +6.32327597438e+000
+5.41660000000e+001, +2.23470629386e+001, +7.35599566092e+001, +6.29774602178e-002, +6.32448344179e+000
+5.45050000000e+001, +2.24845909758e+001, +7.36059650687e+001, +6.29858297580e-002, +6.34608650626e+000
+5.48450000000e+001, +2.25822770951e+001, +7.37254157666e+001, +6.29057364276e-002, +6.32847816381e+000
+5.51880000000e+001, +2.26749757825e+001, +7.38344873216e+001, +6.28061601486e-002, +6.31300889736e+000
+5.55330000000e+001, +2.27707514337e+001, +7.38528675021e+001, +6.26854364313e-002, +6.33265784439e+000
+5.58790000000e+001, +2.28914233945e+001, +7.40014578627e+001, +6.26742448257e-002, +6.30917151595e+000
